timp(ms),P(KW),,,
3885,0.2260492,01/07/2024,11:29:48,AM
3897,0.2260492,01/07/2024,11:29:48,AM
3907,0.2260492,01/07/2024,11:29:48,AM
3918,0.2260492,01/07/2024,11:29:48,AM
3929,0.2260492,01/07/2024,11:29:48,AM
3940,0.2260492,01/07/2024,11:29:48,AM
3999,0.2260492,01/07/2024,11:29:48,AM
4009,0.2260492,01/07/2024,11:29:48,AM
4021,0.2260492,01/07/2024,11:29:48,AM
4035,0.2260492,01/07/2024,11:29:48,AM
4045,0.2260492,01/07/2024,11:29:48,AM
4057,0.2260492,01/07/2024,11:29:48,AM
4068,0.2260492,01/07/2024,11:29:48,AM
4078,0.2260492,01/07/2024,11:29:48,AM
4089,0.2260492,01/07/2024,11:29:48,AM
4100,0.2260492,01/07/2024,11:29:48,AM
4115,0.2260492,01/07/2024,11:29:48,AM
4125,0.2260492,01/07/2024,11:29:48,AM
4136,0.2260492,01/07/2024,11:29:48,AM
4148,0.2260492,01/07/2024,11:29:48,AM
4158,0.2260492,01/07/2024,11:29:48,AM
4169,0.2260492,01/07/2024,11:29:48,AM
4181,0.2260492,01/07/2024,11:29:48,AM
4195,0.2260492,01/07/2024,11:29:48,AM
4205,0.2260492,01/07/2024,11:29:48,AM
4217,0.2260492,01/07/2024,11:29:48,AM
4228,0.2260492,01/07/2024,11:29:48,AM
4239,0.2263838,01/07/2024,11:29:48,AM
4250,0.2263838,01/07/2024,11:29:48,AM
4260,0.2263838,01/07/2024,11:29:48,AM
4275,0.2263838,01/07/2024,11:29:48,AM
4286,0.2263838,01/07/2024,11:29:48,AM
4297,0.2263838,01/07/2024,11:29:48,AM
4308,0.2263838,01/07/2024,11:29:48,AM
4318,0.2263838,01/07/2024,11:29:48,AM
4330,0.2263838,01/07/2024,11:29:48,AM
4340,0.2263838,01/07/2024,11:29:48,AM
4355,0.2263838,01/07/2024,11:29:48,AM
4365,0.2263838,01/07/2024,11:29:48,AM
4376,0.2263838,01/07/2024,11:29:48,AM
4388,0.2263838,01/07/2024,11:29:48,AM
4398,0.2263838,01/07/2024,11:29:48,AM
4409,0.2263838,01/07/2024,11:29:48,AM
4420,0.2263838,01/07/2024,11:29:48,AM
4435,0.2263838,01/07/2024,11:29:48,AM
4445,0.2263838,01/07/2024,11:29:48,AM
4456,0.2263838,01/07/2024,11:29:48,AM
4468,0.2263838,01/07/2024,11:29:48,AM
4478,0.2263838,01/07/2024,11:29:48,AM
4489,0.2263838,01/07/2024,11:29:48,AM
4500,0.2263838,01/07/2024,11:29:48,AM
4515,0.2263838,01/07/2024,11:29:48,AM
4525,0.2263838,01/07/2024,11:29:48,AM
4536,0.2263838,01/07/2024,11:29:48,AM
4548,0.2263838,01/07/2024,11:29:48,AM
4558,0.2263838,01/07/2024,11:29:48,AM
4570,0.2263838,01/07/2024,11:29:48,AM
4581,0.2263838,01/07/2024,11:29:48,AM
4595,0.2263838,01/07/2024,11:29:48,AM
4606,0.2263838,01/07/2024,11:29:48,AM
4616,0.2263838,01/07/2024,11:29:48,AM
4627,0.2263838,01/07/2024,11:29:48,AM
4638,0.2263838,01/07/2024,11:29:48,AM
4649,0.2263838,01/07/2024,11:29:48,AM
4660,0.2263838,01/07/2024,11:29:48,AM
4675,0.2263838,01/07/2024,11:29:48,AM
4686,0.2263838,01/07/2024,11:29:48,AM
4697,0.2263838,01/07/2024,11:29:49,AM
4707,0.2263838,01/07/2024,11:29:49,AM
4718,0.2263838,01/07/2024,11:29:49,AM
4729,0.2263838,01/07/2024,11:29:49,AM
4740,0.2263838,01/07/2024,11:29:49,AM
4755,0.2263838,01/07/2024,11:29:49,AM
4765,0.2263838,01/07/2024,11:29:49,AM
4776,0.2263838,01/07/2024,11:29:49,AM
4788,0.2263838,01/07/2024,11:29:49,AM
4798,0.2263838,01/07/2024,11:29:49,AM
4809,0.2263838,01/07/2024,11:29:49,AM
4820,0.2263838,01/07/2024,11:29:49,AM
4835,0.2263838,01/07/2024,11:29:49,AM
4845,0.2263838,01/07/2024,11:29:49,AM
4856,0.2263838,01/07/2024,11:29:49,AM
4867,0.2263838,01/07/2024,11:29:49,AM
4879,0.2263838,01/07/2024,11:29:49,AM
4890,0.2263838,01/07/2024,11:29:49,AM
4900,0.2263838,01/07/2024,11:29:49,AM
4915,0.2263838,01/07/2024,11:29:49,AM
4925,0.2263838,01/07/2024,11:29:49,AM
4936,0.2263838,01/07/2024,11:29:49,AM
4947,0.2263838,01/07/2024,11:29:49,AM
